name,distance,street,latitude,longitude,categories
Koko Japanese Restaurant Ltd,490,2053 Hastings St E,49.281347,-123.062575,Sushi Restaurant
Shiro Japanese Restaurant,733,3096 Cambie St,49.257932,-123.114615,"Diner,Sushi Restaurant"
Hachibei Restaurant,956,778 16th Ave W,49.256894,-123.121582,Japanese Restaurant
Barkusky Michael,565,4088 Cambie St,49.249255,-123.115173,Accounting and Bookkeeping Service
Kosoo Restaurant,0,832 Cardero St,49.289064,-123.132602,Korean Restaurant
My Chau Restaurant,620,1715A Kingsway,49.247344,-123.069432,Vietnamese Restaurant
Papaya Hut Restaurant,516,2435 Burrard St,49.264119,-123.14596,"Pizzeria,Fast Food Restaurant,Thai Restaurant"
Maxine's Cafe & Bar,118,1325 Burrard St,49.277941,-123.131327,Restaurant
Cardero's Restaurant & Marine Pub,106,1583 Coal Harbour Quay,49.291554,-123.127461,"Bar,Fish and Chips Shop,Seafood Restaurant"
Sawasdee Thai Restaurant,37,4250E Main St,49.247047,-123.100956,Thai Restaurant
Five Sails Restaurant,304,999 Canada Pl,49.288475,-123.112838,"Financial Service,Legal Service"
Sun Sui Wah Seafood Restaurant,53,3888 Main St,49.250435,-123.100757,"Cantonese Restaurant,Dim Sum Restaurant,Seafood Restaurant"
Afghan Horsemen Restaurant,256,1833 Anderson St,49.269257,-123.138533,"Afghan Restaurant,Mediterranean Restaurant,Middle Eastern Restaurant"
Takumi Japanese Restaurant,175,4422W 10th Ave W,49.263617,-123.206889,Japanese Restaurant
Takumi Japanese Restaurant,233,4422W 10th Ave W,49.263617,-123.206889,Japanese Restaurant
A&W Restaurant,369,2083 Alma St,49.268496,-123.185906,"American Restaurant,Fast Food Restaurant"
Irving K. Barber Learning Centre,43,1961 East Mall,49.267529,-123.252864,College Library
Steve's Poke Bar Inc,153,5990 University Blvd,49.265841,-123.24672,Poke Restaurant
University Bookstore,336,,49.263597,-123.247497,"Restaurant,Campground"
Phnom Penh,130,244 E. Georgia St,49.278403,-123.098188,"Cambodian Restaurant,Chinese Restaurant,Vietnamese Restaurant"
Sushi Bar Maumi,91,1226 Bute St,49.281457,-123.133655,Sushi Restaurant
Fanny Bay Oyster Bar & Shellfish Market,92,762 Cambie St,49.278557,-123.114183,Seafood Restaurant
Bar Lab,54,2136 West Mall,49.263441,-123.253806,College and University
University Bookstore,469,,49.263597,-123.247497,"Restaurant,Campground"
University Barbershop,58,3329 Wesbrook Mall,49.254671,-123.235619,Barbershop
